NO,NAMA_PENGGUNA,COMMENT,SENTIMEN,komen case folding,komen tokenized,komen normalized,komen stemming,komen bersih
287,@Taufikyoiii2,"Udah pasti di curangin karena el rumi anak ahmad dhani dia sudah banyak di kenal oleh masyarakat indonesia, ahmad dhani ngomong ke juri buat menangin el pasti di turutin karena dia terpandang oleh nama besarnya, ingat el rumi backup nya ahmad dhani dan mamahnya bahkan rafi juga mendukung el, kalau jefri nichol siapa yg backup",Negatif,"udah pasti di curangin karena el rumi anak ahmad dhani dia sudah banyak di kenal oleh masyarakat indonesia, ahmad dhani ngomong ke juri buat menangin el pasti di turutin karena dia terpandang oleh nama besarnya, ingat el rumi backup nya ahmad dhani dan mamahnya bahkan rafi juga mendukung el, kalau jefri nichol siapa yg backup","['udah', 'pasti', 'di', 'curangin', 'karena', 'el', 'rumi', 'anak', 'ahmad', 'dhani', 'dia', 'sudah', 'banyak', 'di', 'kenal', 'oleh', 'masyarakat', 'indonesia', ',', 'ahmad', 'dhani', 'ngomong', 'ke', 'juri', 'buat', 'menangin', 'el', 'pasti', 'di', 'turutin', 'karena', 'dia', 'terpandang', 'oleh', 'nama', 'besarnya', ',', 'ingat', 'el', 'rumi', 'backup', 'nya', 'ahmad', 'dhani', 'dan', 'mamahnya', 'bahkan', 'rafi', 'juga', 'mendukung', 'el', ',', 'kalau', 'jefri', 'nichol', 'siapa', 'yg', 'backup']","['udah', 'curangin', 'el', 'rumi', 'anak', 'ahmad', 'dhani', 'kenal', 'masyarakat', 'indonesia', 'ahmad', 'dhani', 'ngomong', 'juri', 'menangin', 'el', 'turutin', 'terpandang', 'nama', 'besarnya', 'el', 'rumi', 'backup', 'nya', 'ahmad', 'dhani', 'mamahnya', 'rafi', 'mendukung', 'el', 'jefri', 'nichol', 'yg', 'backup']","['udah', 'curangin', 'el', 'rumi', 'anak', 'ahmad', 'dhani', 'kenal', 'masyarakat', 'indonesia', 'ahmad', 'dhani', 'ngomong', 'juri', 'menangin', 'el', 'turutin', 'pandang', 'nama', 'besar', 'el', 'rumi', 'backup', 'nya', 'ahmad', 'dhani', 'mamah', 'rafi', 'dukung', 'el', 'jefri', 'nichol', 'yg', 'backup']",udah curangin el rumi anak ahmad dhani kenal masyarakat indonesia ahmad dhani ngomong juri menangin el turutin pandang nama besar el rumi backup nya ahmad dhani mamah rafi dukung el jefri nichol yg backup
288,@dimasadrianto417,klo headguard dilepas..dah k.o dr awal si el...,Negatif,klo headguard dilepas..dah k.o dr awal si el...,"['klo', 'headguard', 'dilepas', '..', 'dah', 'k.o', 'dr', 'awal', 'si', 'el', '...']","['klo', 'headguard', 'dilepas', 'dah', 'dr', 'si', 'el']","['klo', 'headguard', 'lepas', 'dah', 'dr', 'si', 'el']",klo headguard lepas dah dr si el
289,@user-qf6sm5my5b,wasit bayaran kompak ini gk adil,Negatif,wasit bayaran kompak ini gk adil,"['wasit', 'bayaran', 'kompak', 'ini', 'gk', 'adil']","['wasit', 'bayaran', 'kompak', 'gk', 'adil']","['wasit', 'bayar', 'kompak', 'gk', 'adil']",wasit bayar kompak gk adil
290,@Bryune,Sok tau. Padahal hanya amatir dan tau tarung di jalan aja. Juri lebih tahu bego. Sok sok ann,Negatif,sok tau. padahal hanya amatir dan tau tarung di jalan aja. juri lebih tahu bego. sok sok ann,"['sok', 'tau', '.', 'padahal', 'hanya', 'amatir', 'dan', 'tau', 'tarung', 'di', 'jalan', 'aja', '.', 'juri', 'lebih', 'tahu', 'bego', '.', 'sok', 'sok', 'ann']","['sok', 'tau', 'amatir', 'tau', 'tarung', 'jalan', 'aja', 'juri', 'bego', 'sok', 'sok', 'ann']","['sok', 'tau', 'amatir', 'tau', 'tarung', 'jalan', 'aja', 'juri', 'bego', 'sok', 'sok', 'ann']",sok tau amatir tau tarung jalan aja juri bego sok sok ann
292,@tarakamandaka9607,Seneng liat para juri amatir menilai dgn kedunguannya sndri😅,Negatif,seneng liat para juri amatir menilai dgn kedunguannya sndri😅,"['seneng', 'liat', 'para', 'juri', 'amatir', 'menilai', 'dgn', 'kedunguannya', 'sndri😅']","['seneng', 'liat', 'juri', 'amatir', 'menilai', 'dgn', 'kedunguannya']","['neng', 'liat', 'juri', 'amatir', 'nilai', 'dgn', 'dungu']",neng liat juri amatir nilai dgn dungu
293,@fajartea8350,Kecewa juga gua liat nya😢,Negatif,kecewa juga gua liat nya😢,"['kecewa', 'juga', 'gua', 'liat', 'nya😢']","['kecewa', 'gua', 'liat']","['kecewa', 'gua', 'liat']",kecewa gua liat
294,@agungheru1000,Jujur saya kecewa  pendukung  El. Tp El  malah tidak mau mengakui k kalahannya. Bang Jefri  maaf   poin mu masuk tp ga d anggap  k cewa sama El,Negatif,jujur saya kecewa  pendukung  el. tp el  malah tidak mau mengakui k kalahannya. bang jefri  maaf   poin mu masuk tp ga d anggap  k cewa sama el,"['jujur', 'saya', 'kecewa', 'pendukung', 'el', '.', 'tp', 'el', 'malah', 'tidak', 'mau', 'mengakui', 'k', 'kalahannya', '.', 'bang', 'jefri', 'maaf', 'poin', 'mu', 'masuk', 'tp', 'ga', 'd', 'anggap', 'k', 'cewa', 'sama', 'el']","['jujur', 'kecewa', 'pendukung', 'el', 'tp', 'el', 'mengakui', 'k', 'kalahannya', 'bang', 'jefri', 'maaf', 'poin', 'mu', 'masuk', 'tp', 'ga', 'd', 'anggap', 'k', 'cewa', 'el']","['jujur', 'kecewa', 'dukung', 'el', 'tp', 'el', 'aku', 'k', 'kalah', 'bang', 'jefri', 'maaf', 'poin', 'mu', 'masuk', 'tp', 'ga', 'd', 'anggap', 'k', 'cewa', 'el']",jujur kecewa dukung el tp el aku k kalah bang jefri maaf poin mu masuk tp ga d anggap k cewa el
295,@user-uh9lt9wn6f,Ahmat dani tau apa ya tentang tinju ronde 1 dan 2 gk dihitung buat apa capek² di ronde 1 dan 2 kok gak langsung aja ronde 3 biasa itu biasa itu ronde 1 el itu udah ngantuk untung ada tali ring ronde ke 4 udah rubuh sampek wasitnya ngecek keadaan el rumi trus apanya yg biasa elus aja tuh kepala mu biar tambah kinclong,Negatif,ahmat dani tau apa ya tentang tinju ronde 1 dan 2 gk dihitung buat apa capek² di ronde 1 dan 2 kok gak langsung aja ronde 3 biasa itu biasa itu ronde 1 el itu udah ngantuk untung ada tali ring ronde ke 4 udah rubuh sampek wasitnya ngecek keadaan el rumi trus apanya yg biasa elus aja tuh kepala mu biar tambah kinclong,"['ahmat', 'dani', 'tau', 'apa', 'ya', 'tentang', 'tinju', 'ronde', '1', 'dan', '2', 'gk', 'dihitung', 'buat', 'apa', 'capek²', 'di', 'ronde', '1', 'dan', '2', 'kok', 'gak', 'langsung', 'aja', 'ronde', '3', 'biasa', 'itu', 'biasa', 'itu', 'ronde', '1', 'el', 'itu', 'udah', 'ngantuk', 'untung', 'ada', 'tali', 'ring', 'ronde', 'ke', '4', 'udah', 'rubuh', 'sampek', 'wasitnya', 'ngecek', 'keadaan', 'el', 'rumi', 'trus', 'apanya', 'yg', 'biasa', 'elus', 'aja', 'tuh', 'kepala', 'mu', 'biar', 'tambah', 'kinclong']","['ahmat', 'dani', 'tau', 'ya', 'tinju', 'ronde', 'gk', 'dihitung', 'ronde', 'gak', 'langsung', 'aja', 'ronde', 'ronde', 'el', 'udah', 'ngantuk', 'untung', 'tali', 'ring', 'ronde', 'udah', 'rubuh', 'sampek', 'wasitnya', 'ngecek', 'el', 'rumi', 'trus', 'apanya', 'yg', 'elus', 'aja', 'tuh', 'kepala', 'mu', 'biar', 'kinclong']","['ahmat', 'dan', 'tau', 'ya', 'tinju', 'ronde', 'gk', 'hitung', 'ronde', 'gak', 'langsung', 'aja', 'ronde', 'ronde', 'el', 'udah', 'ngantuk', 'untung', 'tali', 'ring', 'ronde', 'udah', 'rubuh', 'sampek', 'wasit', 'ngecek', 'el', 'rumi', 'trus', 'apa', 'yg', 'elus', 'aja', 'tuh', 'kepala', 'mu', 'biar', 'kinclong']",ahmat dan tau ya tinju ronde gk hitung ronde gak langsung aja ronde ronde el udah ngantuk untung tali ring ronde udah rubuh sampek wasit ngecek el rumi trus apa yg elus aja tuh kepala mu biar kinclong
298,@ramdhanirama9951,Jefri kuasai pertandingan 2 ronde,Positif,jefri kuasai pertandingan 2 ronde,"['jefri', 'kuasai', 'pertandingan', '2', 'ronde']","['jefri', 'kuasai', 'pertandingan', 'ronde']","['jefri', 'kuasa', 'tanding', 'ronde']",jefri kuasa tanding ronde
299,@SyaifBahri,Tinju kelas rongsokan di bahas,Negatif,tinju kelas rongsokan di bahas,"['tinju', 'kelas', 'rongsokan', 'di', 'bahas']","['tinju', 'kelas', 'rongsokan', 'bahas']","['tinju', 'kelas', 'rongsok', 'bahas']",tinju kelas rongsok bahas
300,@anasnasihin8899,"yang menilai ini gak adil atau maen duit, bisa dipastikan adalah baru nonton tinju, ini bukan soal kekuatan tapi ini berapa pukulan yang masuk, mungkin orang awam ngeliatnya ell pukulannya ngawur gak ada power, tapi kenyataannya meskipun pukulan ell gak ada power tapi itu pukulan bersih dan masuk, enek gua liat artis pada bilang ini maen duit, inget bro lo itu publick figure alangkah baiknya kalo mau memberikan statement cari referensi dulu tentang boxing dan tonton ulang, malah keliatan bego artis artis",Negatif,"yang menilai ini gak adil atau maen duit, bisa dipastikan adalah baru nonton tinju, ini bukan soal kekuatan tapi ini berapa pukulan yang masuk, mungkin orang awam ngeliatnya ell pukulannya ngawur gak ada power, tapi kenyataannya meskipun pukulan ell gak ada power tapi itu pukulan bersih dan masuk, enek gua liat artis pada bilang ini maen duit, inget bro lo itu publick figure alangkah baiknya kalo mau memberikan statement cari referensi dulu tentang boxing dan tonton ulang, malah keliatan bego artis artis","['yang', 'menilai', 'ini', 'gak', 'adil', 'atau', 'maen', 'duit', ',', 'bisa', 'dipastikan', 'adalah', 'baru', 'nonton', 'tinju', ',', 'ini', 'bukan', 'soal', 'kekuatan', 'tapi', 'ini', 'berapa', 'pukulan', 'yang', 'masuk', ',', 'mungkin', 'orang', 'awam', 'ngeliatnya', 'ell', 'pukulannya', 'ngawur', 'gak', 'ada', 'power', ',', 'tapi', 'kenyataannya', 'meskipun', 'pukulan', 'ell', 'gak', 'ada', 'power', 'tapi', 'itu', 'pukulan', 'bersih', 'dan', 'masuk', ',', 'enek', 'gua', 'liat', 'artis', 'pada', 'bilang', 'ini', 'maen', 'duit', ',', 'inget', 'bro', 'lo', 'itu', 'publick', 'figure', 'alangkah', 'baiknya', 'kalo', 'mau', 'memberikan', 'statement', 'cari', 'referensi', 'dulu', 'tentang', 'boxing', 'dan', 'tonton', 'ulang', ',', 'malah', 'keliatan', 'bego', 'artis', 'artis']","['menilai', 'gak', 'adil', 'maen', 'duit', 'nonton', 'tinju', 'kekuatan', 'pukulan', 'masuk', 'orang', 'awam', 'ngeliatnya', 'ell', 'pukulannya', 'ngawur', 'gak', 'power', 'kenyataannya', 'pukulan', 'ell', 'gak', 'power', 'pukulan', 'bersih', 'masuk', 'enek', 'gua', 'liat', 'artis', 'bilang', 'maen', 'duit', 'inget', 'bro', 'lo', 'publick', 'figure', 'alangkah', 'baiknya', 'kalo', 'statement', 'cari', 'referensi', 'boxing', 'tonton', 'ulang', 'keliatan', 'bego', 'artis', 'artis']","['nilai', 'gak', 'adil', 'maen', 'duit', 'nonton', 'tinju', 'kuat', 'pukul', 'masuk', 'orang', 'awam', 'ngeliatnya', 'ell', 'pukul', 'ngawur', 'gak', 'power', 'nyata', 'pukul', 'ell', 'gak', 'power', 'pukul', 'bersih', 'masuk', 'enek', 'gua', 'liat', 'artis', 'bilang', 'maen', 'duit', 'inget', 'bro', 'lo', 'publick', 'figure', 'alangkah', 'baik', 'kalo', 'statement', 'cari', 'referensi', 'boxing', 'tonton', 'ulang', 'liat', 'bego', 'artis', 'artis']",nilai gak adil maen duit nonton tinju kuat pukul masuk orang awam ngeliatnya ell pukul ngawur gak power nyata pukul ell gak power pukul bersih masuk enek gua liat artis bilang maen duit inget bro lo publick figure alangkah baik kalo statement cari referensi boxing tonton ulang liat bego artis artis
306,@user-yf2gj3zs5y,Juara settingan hahahaaa,Negatif,juara settingan hahahaaa,"['juara', 'settingan', 'hahahaaa']","['juara', 'settingan', 'hahahaaa']","['juara', 'settingan', 'hahahaaa']",juara settingan hahahaaa
307,@user-xr5et9qm1b,di selamat kan wasit ketahuan,Negatif,di selamat kan wasit ketahuan,"['di', 'selamat', 'kan', 'wasit', 'ketahuan']","['selamat', 'wasit', 'ketahuan']","['selamat', 'wasit', 'tahu']",selamat wasit tahu
308,@oniimuhammad2284,Jelas banyak pukulan masuk dari jefri,Negatif,jelas banyak pukulan masuk dari jefri,"['jelas', 'banyak', 'pukulan', 'masuk', 'dari', 'jefri']","['pukulan', 'masuk', 'jefri']","['pukul', 'masuk', 'jefri']",pukul masuk jefri
311,@donrio449,"Klo ga pake headgear El sdh roboh di ronde 2, power Jefri lumayan. Point bersih lbh bnyk El.",Negatif,"klo ga pake headgear el sdh roboh di ronde 2, power jefri lumayan. point bersih lbh bnyk el.","['klo', 'ga', 'pake', 'headgear', 'el', 'sdh', 'roboh', 'di', 'ronde', '2', ',', 'power', 'jefri', 'lumayan', '.', 'point', 'bersih', 'lbh', 'bnyk', 'el', '.']","['klo', 'ga', 'pake', 'headgear', 'el', 'sdh', 'roboh', 'ronde', 'power', 'jefri', 'lumayan', 'point', 'bersih', 'lbh', 'bnyk', 'el']","['klo', 'ga', 'pake', 'headgear', 'el', 'sdh', 'roboh', 'ronde', 'power', 'jefri', 'lumayan', 'point', 'bersih', 'lbh', 'bnyk', 'el']",klo ga pake headgear el sdh roboh ronde power jefri lumayan point bersih lbh bnyk el
312,@nurbarokah4499,Pukulan nikol byak msookk kykkyaa...ysdh juri yg pya putusaannn,Negatif,pukulan nikol byak msookk kykkyaa...ysdh juri yg pya putusaannn,"['pukulan', 'nikol', 'byak', 'msookk', 'kykkyaa', '...', 'ysdh', 'juri', 'yg', 'pya', 'putusaannn']","['pukulan', 'nikol', 'byak', 'msookk', 'kykkyaa', 'ysdh', 'juri', 'yg', 'pya', 'putusaannn']","['pukul', 'nikol', 'byak', 'msookk', 'kykkyaa', 'ysdh', 'juri', 'yg', 'pya', 'putusaannn']",pukul nikol byak msookk kykkyaa ysdh juri yg pya putusaannn
315,@kurniasaputra4452,Jefri kalah orang dalam wkwk ketawan jelas bnnyak dia yg mukul dan masuk pukulan nya😅😅 😂😅,Negatif,jefri kalah orang dalam wkwk ketawan jelas bnnyak dia yg mukul dan masuk pukulan nya😅😅 😂😅,"['jefri', 'kalah', 'orang', 'dalam', 'wkwk', 'ketawan', 'jelas', 'bnnyak', 'dia', 'yg', 'mukul', 'dan', 'masuk', 'pukulan', 'nya😅😅', '😂😅']","['jefri', 'kalah', 'orang', 'wkwk', 'ketawan', 'bnnyak', 'yg', 'mukul', 'masuk', 'pukulan']","['jefri', 'kalah', 'orang', 'wkwk', 'tawan', 'bnnyak', 'yg', 'mukul', 'masuk', 'pukul']",jefri kalah orang wkwk tawan bnnyak yg mukul masuk pukul
316,@jeppo2416,"Juri apaan tu, NGAKAK 😂",Negatif,"juri apaan tu, ngakak 😂","['juri', 'apaan', 'tu', ',', 'ngakak', '😂']","['juri', 'tu', 'ngakak']","['juri', 'tu', 'ngakak']",juri tu ngakak
317,@neorzaman88,Host nya pendukung nikol ga netral ahh ..ga seru😅,Negatif,host nya pendukung nikol ga netral ahh ..ga seru😅,"['host', 'nya', 'pendukung', 'nikol', 'ga', 'netral', 'ahh', '..', 'ga', 'seru😅']","['host', 'nya', 'pendukung', 'nikol', 'ga', 'netral', 'ahh', 'ga']","['host', 'nya', 'dukung', 'nikol', 'ga', 'netral', 'ahh', 'ga']",host nya dukung nikol ga netral ahh ga
320,@davidwinata2952,Hahah pecundang 2 2nya...kya bocil berantem,Negatif,hahah pecundang 2 2nya...kya bocil berantem,"['hahah', 'pecundang', '2', '2nya', '...', 'kya', 'bocil', 'berantem']","['hahah', 'pecundang', 'kya', 'bocil', 'berantem']","['hahah', 'cundang', 'kya', 'bocil', 'antem']",hahah cundang kya bocil antem
321,@qurrhidayat6243,"Ini hanya sportainment... bikin orang penasaran, ada tanding ulang... makin cuan...",Positif,"ini hanya sportainment... bikin orang penasaran, ada tanding ulang... makin cuan...","['ini', 'hanya', 'sportainment', '...', 'bikin', 'orang', 'penasaran', ',', 'ada', 'tanding', 'ulang', '...', 'makin', 'cuan', '...']","['sportainment', 'bikin', 'orang', 'penasaran', 'tanding', 'ulang', 'cuan']","['sportainment', 'bikin', 'orang', 'penasaran', 'tanding', 'ulang', 'cuan']",sportainment bikin orang penasaran tanding ulang cuan
322,@user-gt2os7if6r,Bukan kalah point atau stmina tapi takut imagenya ya tau lah,Negatif,bukan kalah point atau stmina tapi takut imagenya ya tau lah,"['bukan', 'kalah', 'point', 'atau', 'stmina', 'tapi', 'takut', 'imagenya', 'ya', 'tau', 'lah']","['kalah', 'point', 'stmina', 'takut', 'imagenya', 'ya', 'tau']","['kalah', 'point', 'stmina', 'takut', 'imagenya', 'ya', 'tau']",kalah point stmina takut imagenya ya tau
324,@fadhlisaputra4772,"Ini show biz....si penyelenggara pastinya bakalam dapat cuan dengan rematch.   Cuma, penilaiian gw...si nichol lebih menguasai pukulan sih. Harusnya dia yang menang 👍🙏",Positif,"ini show biz....si penyelenggara pastinya bakalam dapat cuan dengan rematch.   cuma, penilaiian gw...si nichol lebih menguasai pukulan sih. harusnya dia yang menang 👍🙏","['ini', 'show', 'biz', '....', 'si', 'penyelenggara', 'pastinya', 'bakalam', 'dapat', 'cuan', 'dengan', 'rematch', '.', 'cuma', ',', 'penilaiian', 'gw', '...', 'si', 'nichol', 'lebih', 'menguasai', 'pukulan', 'sih', '.', 'harusnya', 'dia', 'yang', 'menang', '👍🙏']","['show', 'biz', 'si', 'penyelenggara', 'pastinya', 'bakalam', 'cuan', 'rematch', 'penilaiian', 'gw', 'si', 'nichol', 'menguasai', 'pukulan', 'sih', 'menang']","['show', 'biz', 'si', 'selenggara', 'pasti', 'bakalam', 'cuan', 'rematch', 'penilaiian', 'gw', 'si', 'nichol', 'kuasa', 'pukul', 'sih', 'menang']",show biz si selenggara pasti bakalam cuan rematch penilaiian gw si nichol kuasa pukul sih menang
326,@RCYchannel09,kalo ga pake head guard si anak mami juga ud modar itu di ronde 1 dan 2 wkwk pantes aj ga berani kalo ga oake head guard 😂😂,Negatif,kalo ga pake head guard si anak mami juga ud modar itu di ronde 1 dan 2 wkwk pantes aj ga berani kalo ga oake head guard 😂😂,"['kalo', 'ga', 'pake', 'head', 'guard', 'si', 'anak', 'mami', 'juga', 'ud', 'modar', 'itu', 'di', 'ronde', '1', 'dan', '2', 'wkwk', 'pantes', 'aj', 'ga', 'berani', 'kalo', 'ga', 'oake', 'head', 'guard', '😂😂']","['kalo', 'ga', 'pake', 'head', 'guard', 'si', 'anak', 'mami', 'ud', 'modar', 'ronde', 'wkwk', 'pantes', 'aj', 'ga', 'berani', 'kalo', 'ga', 'oake', 'head', 'guard']","['kalo', 'ga', 'pake', 'head', 'guard', 'si', 'anak', 'mami', 'ud', 'modar', 'ronde', 'wkwk', 'pantes', 'aj', 'ga', 'berani', 'kalo', 'ga', 'oake', 'head', 'guard']",kalo ga pake head guard si anak mami ud modar ronde wkwk pantes aj ga berani kalo ga oake head guard
328,@dediakbar4270,Remacth pun jefri tetap kalah yakin gw..,Negatif,remacth pun jefri tetap kalah yakin gw..,"['remacth', 'pun', 'jefri', 'tetap', 'kalah', 'yakin', 'gw', '..']","['remacth', 'jefri', 'kalah', 'gw']","['remacth', 'jefri', 'kalah', 'gw']",remacth jefri kalah gw
330,@damarraharjo9441,"El emang cerdas tau strategi tau menang jangkauan, Jefri mengandalkan power kalau sampai 6 ronde bahaya bisa KO dia duanya",Positif,"el emang cerdas tau strategi tau menang jangkauan, jefri mengandalkan power kalau sampai 6 ronde bahaya bisa ko dia duanya","['el', 'emang', 'cerdas', 'tau', 'strategi', 'tau', 'menang', 'jangkauan', ',', 'jefri', 'mengandalkan', 'power', 'kalau', 'sampai', '6', 'ronde', 'bahaya', 'bisa', 'ko', 'dia', 'duanya']","['el', 'emang', 'cerdas', 'tau', 'strategi', 'tau', 'menang', 'jangkauan', 'jefri', 'mengandalkan', 'power', 'ronde', 'bahaya', 'ko', 'duanya']","['el', 'emang', 'cerdas', 'tau', 'strategi', 'tau', 'menang', 'jangkau', 'jefri', 'andal', 'power', 'ronde', 'bahaya', 'ko', 'dua']",el emang cerdas tau strategi tau menang jangkau jefri andal power ronde bahaya ko dua
332,@iscoalonzo1427,EL main cerdas. Selamat EL🎉🎉🎉🎉🎉,Positif,el main cerdas. selamat el🎉🎉🎉🎉🎉,"['el', 'main', 'cerdas', '.', 'selamat', 'el🎉🎉🎉🎉🎉']","['el', 'main', 'cerdas', 'selamat']","['el', 'main', 'cerdas', 'selamat']",el main cerdas selamat
334,@adihermawan5650,Boleh dicek lagi vidionya....jepri memang banyak melesetnya tapi jepri lebih banyak pukulan masuknya ketimbang el yang pukul sekali-kali lalu jatuh....fix wasit buta....cek lagi vidionya jepri jauh lebih unggul,Negatif,boleh dicek lagi vidionya....jepri memang banyak melesetnya tapi jepri lebih banyak pukulan masuknya ketimbang el yang pukul sekali-kali lalu jatuh....fix wasit buta....cek lagi vidionya jepri jauh lebih unggul,"['boleh', 'dicek', 'lagi', 'vidionya', '....', 'jepri', 'memang', 'banyak', 'melesetnya', 'tapi', 'jepri', 'lebih', 'banyak', 'pukulan', 'masuknya', 'ketimbang', 'el', 'yang', 'pukul', 'sekali-kali', 'lalu', 'jatuh', '....', 'fix', 'wasit', 'buta', '....', 'cek', 'lagi', 'vidionya', 'jepri', 'jauh', 'lebih', 'unggul']","['dicek', 'vidionya', 'jepri', 'melesetnya', 'jepri', 'pukulan', 'masuknya', 'ketimbang', 'el', 'jatuh', 'fix', 'wasit', 'buta', 'cek', 'vidionya', 'jepri', 'unggul']","['cek', 'vidionya', 'jepri', 'meleset', 'jepri', 'pukul', 'masuk', 'ketimbang', 'el', 'jatuh', 'fix', 'wasit', 'buta', 'cek', 'vidionya', 'jepri', 'unggul']",cek vidionya jepri meleset jepri pukul masuk ketimbang el jatuh fix wasit buta cek vidionya jepri unggul
335,@idegunners7321,"Poin kemenangan ell rumi buat melangkah ke boxing selanjutnya...  dan ell rumi harus menentang yunus, petinju terbaik di indonesia,dunia bahkan dimuka bumi ini.. yunus petinju tiada tanding.. karna memiliki pukulan dan ajian tidur di ring..",Positif,"poin kemenangan ell rumi buat melangkah ke boxing selanjutnya...  dan ell rumi harus menentang yunus, petinju terbaik di indonesia,dunia bahkan dimuka bumi ini.. yunus petinju tiada tanding.. karna memiliki pukulan dan ajian tidur di ring..","['poin', 'kemenangan', 'ell', 'rumi', 'buat', 'melangkah', 'ke', 'boxing', 'selanjutnya', '...', 'dan', 'ell', 'rumi', 'harus', 'menentang', 'yunus', ',', 'petinju', 'terbaik', 'di', 'indonesia', ',', 'dunia', 'bahkan', 'dimuka', 'bumi', 'ini', '..', 'yunus', 'petinju', 'tiada', 'tanding', '..', 'karna', 'memiliki', 'pukulan', 'dan', 'ajian', 'tidur', 'di', 'ring', '..']","['poin', 'kemenangan', 'ell', 'rumi', 'melangkah', 'boxing', 'ell', 'rumi', 'menentang', 'yunus', 'petinju', 'terbaik', 'indonesia', 'dunia', 'dimuka', 'bumi', 'yunus', 'petinju', 'tiada', 'tanding', 'karna', 'memiliki', 'pukulan', 'ajian', 'tidur', 'ring']","['poin', 'menang', 'ell', 'rumi', 'lang', 'boxing', 'ell', 'rumi', 'tentang', 'yunus', 'tinju', 'baik', 'indonesia', 'dunia', 'muka', 'bumi', 'yunus', 'tinju', 'tiada', 'tanding', 'karna', 'milik', 'pukul', 'aji', 'tidur', 'ring']",poin menang ell rumi lang boxing ell rumi tentang yunus tinju baik indonesia dunia muka bumi yunus tinju tiada tanding karna milik pukul aji tidur ring
339,@user-fk5nz1tp9b,Ini MH accara terkontrol ini MH 😂😂 seharusnya eefri yg menang malah sitaik yg menang aduh juri berapa disogok Ahmad Dani sih😂😂,Negatif,ini mh accara terkontrol ini mh 😂😂 seharusnya eefri yg menang malah sitaik yg menang aduh juri berapa disogok ahmad dani sih😂😂,"['ini', 'mh', 'accara', 'terkontrol', 'ini', 'mh', '😂😂', 'seharusnya', 'eefri', 'yg', 'menang', 'malah', 'sitaik', 'yg', 'menang', 'aduh', 'juri', 'berapa', 'disogok', 'ahmad', 'dani', 'sih😂😂']","['mh', 'accara', 'terkontrol', 'mh', 'eefri', 'yg', 'menang', 'sitaik', 'yg', 'menang', 'aduh', 'juri', 'disogok', 'ahmad', 'dani']","['mh', 'accara', 'kontrol', 'mh', 'eefri', 'yg', 'menang', 'sitaik', 'yg', 'menang', 'aduh', 'juri', 'sogok', 'ahmad', 'dan']",mh accara kontrol mh eefri yg menang sitaik yg menang aduh juri sogok ahmad dan
340,@rafiariansyah9840,"Kalo gue jd el mending gue ngaku kalah dari pada menang kaya gitu,, penonton kan gak buta",Negatif,"kalo gue jd el mending gue ngaku kalah dari pada menang kaya gitu,, penonton kan gak buta","['kalo', 'gue', 'jd', 'el', 'mending', 'gue', 'ngaku', 'kalah', 'dari', 'pada', 'menang', 'kaya', 'gitu', ',', ',', 'penonton', 'kan', 'gak', 'buta']","['kalo', 'gue', 'jd', 'el', 'mending', 'gue', 'ngaku', 'kalah', 'menang', 'kaya', 'gitu', 'penonton', 'gak', 'buta']","['kalo', 'gue', 'jd', 'el', 'mending', 'gue', 'ngaku', 'kalah', 'menang', 'kaya', 'gitu', 'tonton', 'gak', 'buta']",kalo gue jd el mending gue ngaku kalah menang kaya gitu tonton gak buta
